"","iso2c","year","income_pc","market_wealth","final_consumption","household_expenditure","share_capital_income","share_labor_income","labor_income","Pi","C","K","f","g","r","country"
"44","AU",1979,27515.3865719852,1853126845744.53,87376773358.8037,258473311052.494,0.198596134781837,0.801403880119324,320085099812.552,320085099812.552,345850084411.298,1853126845744.53,0.014225580504676,0.0231640165932138,0.0373895970978898,"Australia"
"45","AU",1980,27993.6899917291,1952152438835.05,88859574532.4633,262991876986.123,0.20551224052906,0.794487774372101,326834261182.158,326834261182.158,351851451518.586,1952152438835.05,0.0134999880843977,0.053437029050614,0.0669370171350117,"Australia"
"46","AU",1981,28846.5740924595,2104308505030.08,93532068208.1311,276650803775.722,0.207584396004677,0.792415618896484,341123140024.958,341123140024.958,370182871983.853,2104308505030.08,0.0148859952638926,0.0779427175706746,0.0928287128345672,"Australia"
"47","AU",1982,28682.0810750178,2084672886191.46,96021007925.1011,285098043021.895,0.200019508600235,0.799980521202087,348404387264.956,348404387264.956,381119050946.996,2084672886191.46,0.0155465149733698,-0.00933115025277033,0.00621536472059951,"Australia"
"48","AU",1983,27734.4170190152,2064586167772.06,98197452403.4473,290642238907.885,0.194766670465469,0.805233359336853,343777822632.017,343777822632.017,388839691311.333,2064586167772.06,0.0216157983239474,-0.00963542940115374,0.0119803689227936,"Australia"
"49","AU",1984,28676.6612062388,2135422654618.66,107950660455.627,287941035970.363,0.222399950027466,0.777600049972534,347404094452.808,347404094452.808,395891696425.99,2135422654618.66,0.0234853854637154,0.0343102593402722,0.0577956448039876,"Australia"
"50","AU",1985,29824.7249103437,2251920186944.4,114382925341.603,299208269190.315,0.220242857933044,0.779757142066956,367173694409.281,367173694409.281,413591194531.918,2251920186944.4,0.021736914714397,0.054554788989324,0.076291703703721,"Australia"
"51","AU",1986,30258.1789159417,2298886579635.65,121033380790.063,315860126259.514,0.21683432161808,0.783165693283081,379589193587.221,379589193587.221,436893507049.577,2298886579635.65,0.0254468669869296,0.0208561533235199,0.0463030203104495,"Australia"
"52","AU",1987,30338.5284705899,2356189901460.61,117728721164.337,328365063954.228,0.22142693400383,0.778573036193848,384165099984.614,384165099984.614,446093785118.565,2356189901460.61,0.0269385561177909,0.0249265545906355,0.0518651107084264,"Australia"
"53","AU",1988,31668.8352623875,2617905801546.91,116680613932.175,345646551255.221,0.244634225964546,0.755365788936615,395474636875.362,395474636875.362,462327165187.396,2617905801546.91,0.0283731494946956,0.111075894147606,0.139449043642302,"Australia"
"54","AU",1989,32217.1904860996,2852665304912.98,115949430795.249,358324824851.841,0.247486278414726,0.752513706684113,407646498735.906,407646498735.906,474274255647.09,2852665304912.98,0.0254507846966126,0.089674541852251,0.115125326548864,"Australia"
"55","AU",1990,32599.8332218948,2834060466376.27,122744606625.948,375487698714.837,0.230008766055107,0.769991219043732,428361737951.516,428361737951.516,498232305340.785,2834060466376.27,0.0244930827563035,-0.00652191426196069,0.0179711684943428,"Australia"
"56","AU",1991,31625.8150539545,2822712292749.25,124009361535.71,381893268362.334,0.213192209601402,0.786807775497437,430086338037.041,430086338037.041,505902629898.044,2822712292749.25,0.026751825785123,-0.00400421012947717,0.0227476156556459,"Australia"
